original_path,output_path,articleurl,status
blue-tulips.html,blue-tulips.html,no,merged
diy-tulip-arrangements.html,diy-tulip-arrangements.html,no,merged
History-of-Skagit-Valley-Tulips-Festival.html,history-of-skagit-valley-tulips-festival.html,yes,merged
history-of-tulips.html,history-of-tulips.html,no,merged
how-to-grow-tulips.html,how-to-grow-tulips.html,no,merged
how-to-store-tulip-bulbs.html,how-to-store-tulip-bulbs.html,no,merged
index.html,index.html,no,merged
pictures.html,pictures.html,no,merged
pink-tulips.html,pink-tulips.html,no,merged
privacypolicy.html,privacypolicy.html,yes,merged
purple-tulips.html,purple-tulips.html,no,merged
red-tulips.html,red-tulips.html,no,merged
spring-decorating-ideas-tulips (1).html,spring-decorating-ideas-tulips (1).html,no,merged
spring-decorating-ideas-tulips.html,spring-decorating-ideas-tulips.html,no,merged
style-home-with-tulips.html,style-home-with-tulips.html,no,merged
tourism-calendar.html,tourism-calendar.html,no,merged
tulip-care-after-bloom.html,tulip-care-after-bloom.html,no,merged
tulip-color-meanings (1).html,tulip-color-meanings (1).html,no,merged
tulip-color-meanings.html,tulip-color-meanings.html,no,merged
tulip-colors.html,tulip-colors.html,no,merged
tulip-festivals-world.html,tulip-festivals-world.html,no,merged
tulip-fun-facts.html,tulip-fun-facts.html,no,merged
tulip-mania-explained.html,tulip-mania-explained.html,no,merged
tulip-meaning-symbolism.html,tulip-meaning-symbolism.html,no,merged
tulip-photography-guide.html,tulip-photography-guide.html,no,merged
tulip-quotes-captions.html,tulip-quotes-captions.html,no,merged
tulip-wedding-ideas.html,tulip-wedding-ideas.html,no,merged
tulips-as-gifts-color-meanings.html,tulips-as-gifts-color-meanings.html,no,merged
tulips-hub-6.html,tulips-hub-6.html,no,merged
tulips-hub-dark.html,tulips-hub-dark.html,no,merged
tulips-hub-new.html,tulips-hub-new.html,no,merged
tulips-hub.html,tulips-hub.html,no,merged
tulips-in-art-poetry-design.html,tulips-in-art-poetry-design.html,no,merged
tulips-usa-dark.html,tulips-usa-dark.html,no,merged
tulips-usa.html,tulips-usa.html,no,merged
types-of-tulips.html,types-of-tulips.html,no,merged
What-is-address-of-Tulips-Festival-WA.html,what-is-address-of-tulips-festival-wa.html,yes,merged
What-is-ticket-price-of-Tulip-Festival.html,what-is-ticket-price-of-tulip-festival.html,yes,merged
when-to-plant-tulips.html,when-to-plant-tulips.html,no,merged
white-tulips.html,white-tulips.html,no,merged
why-tulips-are-perfect-spring-flower.html,why-tulips-are-perfect-spring-flower.html,no,merged
why-tulips-not-blooming.html,why-tulips-not-blooming.html,no,merged
why-tulips-not-blooming_black.html,why-tulips-not-blooming_black.html,no,merged
world.html,world.html,yes,merged
yellow-tulips.html,yellow-tulips.html,no,merged
festival\around-the-world.html,festival\around-the-world.html,yes,merged
festival\belle-plain-kansas.html,festival\belle-plain-kansas.html,yes,merged
festival\gaitneau.html,festival\gaitneau.html,yes,merged
festival\holland-michigan.html,festival\holland-michigan.html,yes,merged
festival\montreal.html,festival\montreal.html,yes,merged
festival\newyork.html,festival\newyork.html,yes,merged
festival\orange-city-utah.html,festival\orange-city-utah.html,yes,merged
festival\orange-city.html,festival\orange-city.html,yes,merged
festival\oregon.html,festival\oregon.html,yes,merged
festival\ottawa.html,festival\ottawa.html,yes,merged
festival\pella-iowa.html,festival\pella-iowa.html,yes,merged
festival\usa.html,festival\usa.html,yes,merged
festival\washington.html,festival\washington.html,yes,merged
newyork\newyork.html,newyork\newyork.html,yes,merged
Oregon\oregon.html,Oregon\oregon.html,yes,merged
Ottawa\ottawa.html,Ottawa\ottawa.html,yes,merged
Photos\index.html,Photos\index.html,no,merged
Photos\2015-photos\index.html,Photos\2015-photos\index.html,no,merged
Photos\Blue\index.html,Photos\Blue\index.html,no,merged
Photos\collection\index.html,Photos\collection\index.html,no,merged
Photos\Pink\index.html,Photos\Pink\index.html,no,merged
Photos\Purple\index.html,Photos\Purple\index.html,no,merged
Photos\Red\index.html,Photos\Red\index.html,no,merged
Photos\White\index.html,Photos\White\index.html,no,merged
Photos\Yellow\index.html,Photos\Yellow\index.html,no,merged
Skagit-Valley\address.html,Skagit-Valley\address.html,yes,merged
Skagit-Valley\index.html,Skagit-Valley\index.html,no,merged
Skagit-Valley\things-to-do.html,Skagit-Valley\things-to-do.html,yes,merged
Skagit-Valley\Bellingham\index.html,Skagit-Valley\Bellingham\index.html,no,merged
Skagit-Valley\this-year\index.html,Skagit-Valley\this-year\index.html,no,merged
Skagit-Valley\Washington\alki-beach-in-seattle.html,Skagit-Valley\Washington\alki-beach-in-seattle.html,no,merged
Skagit-Valley\Washington\ballard-locks-in-seattle.html,Skagit-Valley\Washington\ballard-locks-in-seattle.html,no,merged
Skagit-Valley\Washington\pike-place-market-in-seattle.html,Skagit-Valley\Washington\pike-place-market-in-seattle.html,no,merged
Skagit-Valley\Washington\sanjuan-island-in-washington-state.html,Skagit-Valley\Washington\sanjuan-island-in-washington-state.html,no,merged
Skagit-Valley\Washington\whidbey-island-in-washington-state.html,Skagit-Valley\Washington\whidbey-island-in-washington-state.html,no,merged
Skagit-Valley\Where-to-stay\index.html,Skagit-Valley\Where-to-stay\index.html,no,merged
Victoria\victoria.html,Victoria\victoria.html,yes,merged
